ID,Nombre,Apellido,FechaAcceso,HoraAcceso,TipoDispositivo,IDDispositivo
137,Nombre0,Apellido0,2024-01-01,10:28,Tipo1,4047
335,Nombre1,Apellido1,2024-01-02,14:50,Tipo1,2150
172,Nombre2,Apellido2,2024-01-03,04:23,Tipo2,4428
867,Nombre3,Apellido3,2024-01-04,23:41,Tipo4,1155
815,Nombre4,Apellido4,2024-01-05,17:55,Tipo2,5409
745,Nombre5,Apellido5,2024-01-06,00:22,Tipo3,1648
947,Nombre6,Apellido6,2024-01-07,13:41,Tipo4,8586
244,Nombre7,Apellido7,2024-01-08,09:07,Tipo1,2679
229,Nombre8,Apellido8,2024-01-09,22:57,Tipo1,8255
683,Nombre9,Apellido9,2024-01-10,01:00,Tipo2,8961
849,Nombre10,Apellido10,2024-01-11,17:08,Tipo4,5039
608,Nombre11,Apellido11,2024-01-12,13:51,Tipo3,1243
490,Nombre12,Apellido12,2024-01-13,15:42,Tipo4,2372
381,Nombre13,Apellido13,2024-01-14,08:30,Tipo4,2214
278,Nombre14,Apellido14,2024-01-15,07:03,Tipo3,8470
376,Nombre15,Apellido15,2024-01-16,06:21,Tipo2,6024
354,Nombre16,Apellido16,2024-01-17,17:57,Tipo1,6848
457,Nombre17,Apellido17,2024-01-18,03:04,Tipo3,6271
568,Nombre18,Apellido18,2024-01-19,17:43,Tipo2,5791
352,Nombre19,Apellido19,2024-01-20,12:26,Tipo4,3944
